"time","mean","std"
0.7224,0.019911,0.0053
5.4768,0.06269,0.0166
9.8896,0.18935,0.0500
30.0328,0.20089,0.0530
50.1984,0.3093,0.0551
99.2376,0.33797,0.0764
170.7342,0.2575,0.1120
240.219,0.15952,0.0679
335.8446,0.17125,0.0391
503.8698,0.17639,0.0522
671.769,0.15126,0.0481
1007.5548,0.15306,0.0449
1344.1008,0.14599,0.0346
1679.7648,0.118,0.0306
2014.32,0.10546,0.0218
2185.12,0.05909,0.0156
2348.7912,0.018658,0.0049
2516.4384,0.013164,0.0035
