"time","mean","std"
1.218,0.03764,0.0123
2.9148,0.09629,0.0315
10.9032,0.203675,0.0666
20.7088,0.261745,0.0856
49.7868,0.2828,0.0822
95.9574,0.239995,0.0887
166.656,0.274025,0.2020
241.3236,0.188305,0.0445
339.066,0.12463,0.0311
503.2776,0.186955,0.1152
674.0958,0.140125,0.0943
1011.0996,0.088095,0.0444
1344.3948,0.12224,0.0382
1681.5792,0.14508,0.0200
2015.433,0.139575,0.0291
2352.4326,0.03647,0.0055
2691.57,0.016497,0.0054
