"time","mean","std"
1.9285,6.135,0.951
3.961,4.7596,0.91352
7.9395,2.57265,0.6321
11.987,1.58795,0.43301
23.887,0.9388,0.35464
47.9305,0.66925,0.08911
94.332,0.4974,0.09412
164.4132,0.4917,0.0117
503.888,0.55055,0.04557
674.436,0.6197,0.06336
1009.9236,0.4712,0.02217
1346.5032,0.4602,0.02062
