"time","mean","std"
1.795,10.249,2.51204
3.836,7.8165,2.02309
7.818,4.22,1.2727
11.926,2.8125,1.06533
24,2.108,0.75039
48.178,1.5375,0.69661
90.35,1.1735,0.49717
161.23,1.0948,0.38946
233.447,1.02868,0.33697
329.728,1.02004,0.30936
499.8,0.88435,0.28172
668.237,0.9027,0.27344
1006.58,0.84575,0.12152
1341.749,0.749,0.27344
1681.277,0.65905,0.16572
2015.37,0.5783,0.15192
