"time","mean","std"
0.212,398.8,55.83
1.684,255,35.7
2.566,174.18,24.39
4.038,113.23,15.85
5.581,51.12,7.16
7.641,26.8,3.75
12.211,12.301,1.72
24.095,7.18,1.01
47.943,4.706,0.66
72.013,3.435,0.48
96.232,2.614,0.37
