"time","mean","std"
0.312,328.9,46.05
0.942,265.2,37.13
2.014,173.69,24.32
2.897,112.03,15.68
4.032,73.94,10.35
5.861,35.33,4.95
7.942,24.047,3.37
11.916,12.506,1.75
15.951,8.13,1.14
23.897,7.136,1
48.176,5.017,0.7
