"time","mean","std"
0.48,3142.55,498.1
0.99,2259.6,381.95
1.97,1297.55,185.4
2.96,873.2,129.6
3.92,601.8,93.1
5.93,292.95,45.32
7.88,164.65,25.47
11.93,79.9,12.36
15.89,56.53,8.75
23.9,43.2,6.68
47.99,30.84,4.77
96.04,18.76,2.9
