"time","mean","std","CV"
0.507,6382.5,1831.65,0.286980023501763
1.0157,4631.8,991.75,0.214117621658966
2.0107,2993.05,509.3,0.170160872688395
3.0059,1882.85,359.16,0.190753379185809
4.00545,1373.75,126.05,0.0917561419472247
6.0029,653.65,124.69,0.190759580815421
7.9993,385.8,73.59,0.190746500777605
11.9975,170.87,32.59,0.190729794580675
15.888,117.42,22.4,0.190768182592403
23.96,87.69,16.73,0.190785722431292
47.986,63.08,12.03,0.190710209258085
96.103,38.37,7.32,0.190774042220485
