"time","mean","std"
0.65,232.29,45.83
1.96,133.13,12.53
4.03,51.41,3.6
7.94,14.53,1.11
12.11,7.32,0.73
24.08,4.77,0.59
48.03,3.38,0.4
92.63,2.02,0.27
