,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
time point,-24.0,-23.0,-22.0,-21.0,-20.0,-19.0,-18.0,-17.0,-16.0,-15.0,-14.0,-13.0,-12.0,-11.0,-10.0,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0
PE_V,0.9483090527534418,0.9486690460303229,0.9490582493551738,0.9494798354514384,0.9499392390415478,0.9504403610070008,0.9509910251783269,0.9515974638632455,0.9522673016454504,0.9530085426956334,0.9538316806105145,0.9547460879350408,0.9557693768316007,0.956922322298032,0.9582237017273663,0.959696964665137,0.9613694957598371,0.96327423849798,0.9654520358171284,0.9679557261658215,0.9708428268439117,0.9741831582621528,0.9780601355505977,0.9825456880675397,0.9876529186497677,0.9905434633481701,0.9914434375195955,0.9918681273622583,0.9921017298383997,0.9922404099275041,0.9923228344617862,0.992369474936442,0.992392847975179,0.9924031540416856,0.992406525470803,0.9924058306814383,0.992401497525964,0.9923939538567528,0.9923822541847622,0.9923692446806859,0.9923550989734085,0.9923399035858116,0.9923234811483855,0.9923063003775335,0.9922885420271471,0.992270210627515,0.9922513107089255,0.992231846801667,0.9922118234360283,0.9921912451422975,0.9921701164507634,0.9921484418917143,0.9921262259954385,0.9921034732922247,0.9920801883123613,0.9920563755861368,0.9920320396438397,0.9920071850157584,0.9919818162321812,0.9919557988412349,0.9919292098493829,0.9919021603495208,0.9918746522909544,0.9918466876229896,0.9918182682949319,0.9917893962560874,0.9917600734557617,0.9917303018432606,0.9917000833678902,0.991669419978956,0.9916383136257638,0.9916067662576196,0.9915747798238289,0.9915423562736979,0.9915094975565321,0.9914762056216374,0.9914424824183196,0.9914083298958845,0.9913737500036379,0.9913387446908855,0.9913032518438422,0.9912673005837782,0.9912309453992126,0.9911941874351311,0.9911570278365193,0.9911194677483629,0.9910815083156477,0.9910431506833597,0.9910043959964842,0.9909652454000071,0.9909257000389143,0.9908857610581915,0.9908454296028243,0.9908047068177983,0.9907635938480996,0.9907220918387138,0.9906802019346267,0.9906379252808238,0.9905952630222911,0.9905522163040141,0.9905087862709788,0.9904649740681709,0.9904207808405758,0.9903762077331798,0.990331255890968,0.9902859264589268,0.9902402205820414,0.9901941394052978,0.9901476840736817,0.9901008484395187,0.9900536360229104,0.99000605422375,0.9899581041383297,0.9899097868629418,0.9898611034938783,0.9898120551274315,0.9897626428598936,0.9897128677875565,0.9896627310067128,0.9896122336136542,0.9895613767046731,0.9895101613760618,0.9894585887241124,0.9894066598451168,0.9893543758353674,0.9893017377911565,0.9892487468087761,0.9891954039845182,0.9891417104146752,0.9890876671955393,0.9890332754234026,0.9889785361945573,0.9889234506052954,0.9888680197519093,0.9888122447306908,0.9887561266379327,0.9886996665699266,0.988642865622965,0.9885857684990929,0.9885283640796189,0.9884706138645145,0.9884125192486837,0.9883540816270304,0.9882953023944587
PE_T1,0.7376003777131501,0.7385151411237136,0.7394724063012078,0.7404739212244144,0.7415214041695993,0.7426166564478004,0.7437613283055078,0.7449571841135351,0.7462055061666789,0.7475076008731448,0.7488648264917953,0.75028138133835,0.7517560727115241,0.7532848218563657,0.7548673415202449,0.7565006266900227,0.7581811210603344,0.7599005500028578,0.7616399861888649,0.7633600202884376,0.7650029039381498,0.7664815932170866,0.7676841795372281,0.7685175333756907,0.7689327100031809,0.7690813912517296,0.7691156219379567,0.7690901803791932,0.7690289248889025,0.7689439455358276,0.7688417307500595,0.768727414823104,0.7686045659403007,0.7684758688981163,0.7683427383280029,0.7682058877387993,0.7680655549630182,0.7679219778331727,0.767774829593143,0.7676253422601504,0.7674736491539553,0.7673198477845344,0.7671638513775764,0.7670060243407146,0.7668465299883793,0.766685408572562,0.7665227003452538,0.7663584455584463,0.7661926844641309,0.7660254573142989,0.765856804360942,0.7656867658560513,0.7655153820516184,0.7653426931996347,0.7651687395520913,0.7649935613609801,0.7648171988782921,0.764639692356019,0.764461082046152,0.7642804898525037,0.7640984349256694,0.7639156616481194,0.7637321932175649,0.7635480528317171,0.7633632636882873,0.7631778489849868,0.7629918319195265,0.7628052356896178,0.7626180834929719,0.7624303985273001,0.7622422039903135,0.7620535230797233,0.7618643789932408,0.761674794928577,0.7614847940834434,0.7612943996555512,0.7611036348426112,0.7609125228423352,0.760721086852434,0.7605293500706188,0.7603363132832955,0.7601424333376214,0.759948571927926,0.7597547394154193,0.7595609461613119,0.7593672025268141,0.7591735188731363,0.7589799055614889,0.758786372953082,0.7585929314091263,0.758399591290832,0.7582063629594094,0.7580132567760688,0.7578202831020208,0.7576274522984756,0.7574347747266436,0.7572422607477349,0.7570499207229604,0.7568577650135301,0.7566658039806543,0.7564740479855434,0.7562825073894078,0.756091192553458,0.7559001138389042,0.7557092816069566,0.7555187062188259,0.7553283980357223,0.7551383674188561,0.7549486247294377,0.7547581907169716,0.7545673980451273,0.7543771058641413,0.7541873179275219,0.7539980379887768,0.7538092698014143,0.7536210171189422,0.7534332836948687,0.7532460732827017,0.7530593896359492,0.7528732365081192,0.7526876176527199,0.7525025368232591,0.7523179977732449,0.7521340042561855,0.7519505600255886,0.7517676688349625,0.751585334437815,0.7514035605876541,0.7512223510379881,0.7510417095423249,0.7508616398541722,0.7506821457270384,0.7505032309144314,0.7503248991698592,0.7501471542468299,0.7499699998988514,0.7497934398794317,0.749617477942079,0.7494414004936619,0.7492654122331321,0.7490901683025347,0.7489156675429941,0.7487419087956344,0.7485688909015799
PE_T2,0.0390333862745619,0.03931585397854974,0.039626506093366806,0.039968375025004894,0.040350357080285185,0.040772781751663066,0.04125202857353331,0.04179563896683595,0.04242236753132009,0.04315309771490104,0.04402628434517054,0.044975138537035296,0.04606773374359515,0.04742237367368171,0.04915621705174237,0.05140553008011369,0.054274291800261075,0.05810924698309105,0.06363619837339243,0.07220907229290975,0.08556089025736052,0.10563527128666397,0.1333263693123076,0.165214456654458,0.19120637817008906,0.2032939729318026,0.20874909650067502,0.21174083758354487,0.21348800557673508,0.21451350878355485,0.21505500238324654,0.21527966425112052,0.21530158381099174,0.21521006432508663,0.2150516646368495,0.2148464903138569,0.2145991108287681,0.21431409565424228,0.21398104822683836,0.2136308917276998,0.21326542522013733,0.21288549852674632,0.21248990861971423,0.21208247845065195,0.2116647908764281,0.21123705788946984,0.2107994914822045,0.21035230364705934,0.20989570637646163,0.20942991166283856,0.20895513149861747,0.20847157787622556,0.20797946278809012,0.2074789982266384,0.2069703961842977,0.2064538686534952,0.2059296276266582,0.20539788509621398,0.20485885305458978,0.2043078110988865,0.2037475433584287,0.2031820436700062,0.20261143242848678,0.20203583002873815,0.20145535686562815,0.20087013333402454,0.2002802798287951,0.19968591674480757,0.19908716447692978,0.19848414342002946,0.19787697396897444,0.19726577651863242,0.19665067146387122,0.1960317791995586,0.19540922012056242,0.1947831146217503,0.19415358309799016,0.19352074594414972,0.19288472355509673,0.192245636325699,0.19159824199859452,0.1909449355045036,0.19029023523911168,0.18963419426852215,0.1889768656588384,0.18831830247616374,0.18765855778660154,0.18699768465625516,0.186335736151228,0.18567276533762334,0.18500882528154458,0.18434396904909509,0.18367824970637822,0.1830117203194973,0.18234443395455574,0.18167644367765684,0.181007802554904,0.18033856365240056,0.1796687800362499,0.17899850477255533,0.17832779092742024,0.17765669156694802,0.17698525975724197,0.17631354856440548,0.17564161105454187,0.17496950029375455,0.17429726934814688,0.17362497128382218,0.17295265916688382,0.17227643328579478,0.17159763407012296,0.17091970487962355,0.17024267238744403,0.16956656326673195,0.16889140419063478,0.1682172218323001,0.16754404286487534,0.16687189396150814,0.16620080179534588,0.16553079303953613,0.16486189436722645,0.16419413245156433,0.16352753396569722,0.16286212558277272,0.16219793397593832,0.1615349858183415,0.16087330778312983,0.1602129265434508,0.1595538687724519,0.1588961611432807,0.15823983032908465,0.1575849030030113,0.1569314058382082,0.15627936550782281,0.15562880868500265,0.15497976204289526,0.15433225225464817,0.15368630599340888,0.15303893863236082,0.15239102037966426,0.1517453123274658,0.15110182052755597,0.15046055103172537,0.1498215098917645
efficacy_V,0.10475600842700261,0.11099079102050435,0.11773146722461914,0.1250329859569299,0.13298947206639689,0.14166848555936318,0.15120552863970715,0.16170853966678722,0.173309570055864,0.1861472453516635,0.200403305876503,0.21624007627321917,0.23396258447023432,0.2539306360617569,0.2764694397967917,0.3019851221996567,0.3309519624880978,0.36394051430706764,0.4016581431895827,0.4450199668902709,0.4950221369568806,0.5528738845323141,0.6200198899322501,0.6977059095078516,0.7861588734380468,0.8362206910571903,0.8518074913086235,0.8591627643337513,0.8632085639238554,0.8656103871276221,0.8670379111527144,0.8678456851813195,0.8682504866718843,0.8684289791276855,0.8684873694614127,0.8684753362904747,0.86840028966027,0.8682696396162011,0.8680670110785008,0.8678416973441221,0.867596705520191,0.8673335341106823,0.8670491112239719,0.8667515546363072,0.866443994853975,0.8661265103377884,0.8657991795485545,0.8654620809470802,0.8651152929941803,0.8647588941506564,0.864392962877323,0.8640175776349873,0.8636328168844564,0.8632387590865392,0.8628354827020468,0.8624230661917862,0.8620015880165685,0.8615711266372005,0.8611317605144895,0.8606811610543944,0.8602206619444849,0.8597521872208338,0.8592757706437884,0.8587914459736977,0.8582992469709054,0.8577992073957608,0.8572913610086069,0.8567757415697933,0.8562523828396691,0.8557213185785776,0.8551825825468662,0.8546362085048821,0.8540822302129707,0.8535206814314831,0.8529515959207609,0.852375007441155,0.8517909497530091,0.8511994566166723,0.8506005617924918,0.8499942990408091,0.8493795926027985,0.8487569468345131,0.8481273054315492,0.8474906882241011,0.8468471150423633,0.8461966057165321,0.8455391800768018,0.8448748579533749,0.8442036591764377,0.8435256035761907,0.842840710982832,0.8421490012265542,0.8414504941375537,0.8407452095460228,0.8400331672821639,0.8393143871761695,0.8385888890582356,0.8378566927585569,0.8371178181073298,0.8363722849347504,0.8356201130710152,0.8348613223463208,0.8340959325908575,0.8333239636348293,0.8325454353084231,0.8317603674418428,0.8309687798652791,0.8301706924089284,0.8293661249029888,0.8285549708748781,0.8277372912898119,0.8269132143077551,0.8260827589155733,0.8252459441001304,0.8244027888482884,0.823553312146913,0.8226975329828679,0.8218354703430151,0.8209671432142223,0.8200925705833493,0.8192117714372602,0.8183247647628226,0.8174315695468983,0.8165322047763474,0.8156266894380394,0.8147150425188362,0.8137972830056017,0.8128734298851978,0.8119435021444903,0.8110075187703428,0.8100654987496194,0.8091174610691858,0.8081634247159,0.8072034086766314,0.8062374319382385,0.8052655134875925,0.8042876723115514,0.8033039273969832,0.8023150529459344,0.8013208563919672,0.8003206709467747,0.799314520768926,0.7983024300169931,0.7972844228495469
efficacy_T1,0.06778623870519462,0.07103607204041207,0.07443689923631736,0.0779949302480184,0.08171626950801003,0.08560731644218733,0.08967393379712851,0.09392238976307765,0.09835723988338896,0.10298312536789511,0.10780487163361463,0.1128373938227798,0.11807645468633865,0.12350756383950301,0.1291297007744988,0.13493218973433863,0.1409023964142494,0.14701092396402105,0.15319053022777274,0.1593012076881436,0.16513779667832784,0.17039106069788157,0.17466342781110566,0.17762404150967814,0.17909901834897846,0.17962723064111397,0.17974884025503546,0.17965845532619518,0.17944083606856753,0.17913893425303906,0.17877580099442236,0.1783696766284103,0.1779332376651569,0.17747602224420211,0.17700305605459,0.17651687394279758,0.17601832084426916,0.17550824169444912,0.1749854756435284,0.1744543996162824,0.17391548725102735,0.17336908496648662,0.17281488448398796,0.17225418041595364,0.17168755296123406,0.17111514512102743,0.1705370998965312,0.16995356028894337,0.1693646692994616,0.16877056992928396,0.1681714051796086,0.1675673180516335,0.16695845154655609,0.1663449486655746,0.1657269524098861,0.16510460578068964,0.1644780517791825,0.16384743340656271,0.1632128936640279,0.16257131298401717,0.16192453572638466,0.1612752064207853,0.16062340748054482,0.15996922131898927,0.15931273034944515,0.15865401698523818,0.15799316363969418,0.15733025272613932,0.15666536665789976,0.15599858784830178,0.155329998710671,0.15465968165833344,0.15398771910461528,0.15331419346284236,0.15263918714634084,0.15196278256843754,0.15128506214245652,0.15060610828172616,0.14992600339957074,0.14924482990931665,0.14855903795576653,0.14787025055652658,0.14718152900911308,0.14649291012326893,0.1458044307087386,0.14511612757526604,0.1444280375325947,0.14374019739046862,0.14305264395863138,0.14236541404682723,0.14167854446479977,0.14099207202229258,0.14030603352904958,0.13962046579481502,0.1389354056293327,0.13825088984234601,0.13756695524359852,0.13688363864283537,0.13620097684979937,0.13551900667423433,0.13483776492588395,0.13415728841449248,0.13347761394980406,0.13279877834156195,0.13212081839950962,0.13144377093339188,0.1307676727529522,0.1300925606679343,0.12941847148808183,0.12874192628008074,0.12806410688119063,0.1273880655506584,0.1267138156233818,0.126041370434256,0.12537074331817855,0.12470194761004583,0.12403499664475437,0.12336990375720047,0.12270668228228121,0.12204534555489266,0.12138590690993178,0.1207283796822951,0.12007277720687914,0.11941911281858086,0.11876739985229601,0.11811765164292232,0.11746988152535509,0.11682410283449174,0.11618032890522867,0.11553857307246296,0.1148988486710899,0.11426116903600714,0.11362554750211096,0.11299199740429822,0.1123605320774651,0.11173116485650836,0.1111039090763245,0.11047877807181039,0.10985323669702662,0.10922801217550326,0.10860543199698558,0.10798549204439556,0.10736818820065375,0.10675351634868147
efficacy_T2,0.004256679251401607,0.004549369263266545,0.0048712636599993475,0.005225504588235563,0.005621310305893745,0.006059022229530031,0.006555612657388021,0.007118895929136837,0.007768305360322136,0.008525480156176157,0.009430266797500919,0.010413459356346189,0.011545594816283034,0.012949258214300263,0.014745848166822118,0.017076562254370597,0.020049142446914248,0.02402288196515745,0.02974984984561202,0.038632970052968396,0.05246798093478411,0.07326883971862774,0.10196205913895129,0.13500415397229615,0.1619367048777598,0.1744617412067857,0.18011428186738654,0.1832142919594416,0.18502468873555888,0.18608730418339248,0.18664839405625577,0.18688118627938544,0.18690389909273786,0.18680906758089677,0.18664493551916017,0.18643233608147847,0.1861760041065179,0.18588067443294498,0.18553557425298728,0.18517274583600174,0.18479405335213717,0.1844003773784718,0.18399047135046154,0.18356829656965157,0.18313549317538924,0.18269228083195888,0.1822388792036449,0.18177550795473185,0.18130238674950372,0.18081973525224504,0.18032777312724024,0.17982672003877365,0.17931679565112935,0.178798219628592,0.1782712116354459,0.17773599133597517,0.17719277839446468,0.17664179247519818,0.17608325324246066,0.17551226946528586,0.174931726028684,0.17434576130359425,0.17375450004188986,0.17315806699544445,0.17255658691613152,0.17195018455582478,0.1713389846663973,0.170723111999723,0.1701026913076752,0.16947784734212745,0.16884870485495318,0.16821538859802587,0.16757802332321914,0.1669367337824066,0.1662916447274616,0.16564288091025747,0.16499056708266813,0.16433482799656685,0.16367578840382724,0.16301357305632258,0.16234274998307796,0.16166580078567472,0.16098740737736572,0.1603076247446793,0.15962650787414412,0.15894411175228818,0.15826049136564013,0.1575757017007281,0.15688979774408074,0.15620283448222627,0.15551486690169303,0.15482594998900956,0.1541361387307041,0.15344548811330505,0.15275405312334078,0.15206188874733972,0.15136904997183043,0.1506755917833409,0.14998156916839966,0.1492870371135352,0.14859205060527592,0.14789666463014994,0.14720093417468605,0.14650491422541223,0.14580865976885693,0.1451122257915487,0.14441566728001576,0.14371903922078666,0.14302239660038973,0.14232169857946542,0.1416183340967866,0.14091587112488035,0.14021433730217658,0.13951376026710516,0.1388141676580964,0.13811558711358018,0.13741804627198628,0.13672157277174501,0.13602619425128615,0.13533193834903967,0.13463883270343568,0.1339469049529043,0.13325618273587525,0.13256669369077878,0.13187846545604465,0.13119152567010306,0.1305059019713839,0.12982162199831715,0.1291387133893328,0.12845720378286096,0.1277771208173315,0.12709849213117452,0.1264213453628199,0.12574570815069774,0.1250716081332378,0.12439907294887043,0.12372813023602558,0.12305880763313293,0.1223880125018274,0.12171664654249126,0.12104757076925754,0.12038079145292657,0.11971631486429923,0.11905414727417574
