,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
time point,-24.0,-23.0,-22.0,-21.0,-20.0,-19.0,-18.0,-17.0,-16.0,-15.0,-14.0,-13.0,-12.0,-11.0,-10.0,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0
PE_V,0.9528588824011154,0.9534092264046715,0.9539931427283497,0.9546139023518634,0.9552751133564858,0.9559806405257796,0.9567351802062661,0.9575438910888309,0.9584131703028859,0.9593497430124592,0.960361675219869,0.9614583139338317,0.9626506420985703,0.9639515713852603,0.9653765066465685,0.9669436300724465,0.9686740900651937,0.9705935171428488,0.972734481784631,0.9751376591285003,0.9778528832343257,0.9809447184292686,0.984503925532735,0.9886370360151651,0.9933139073023008,0.9954325102982345,0.9959388276657234,0.9961618040840414,0.9962824401989888,0.9963491721551868,0.9963910135262927,0.996412605713486,0.9964269783884122,0.9964316329304108,0.9964308526103371,0.9964266154563086,0.9964203894007665,0.9964127118765066,0.9964038401619271,0.9963943646304578,0.9963843458520677,0.9963738101882313,0.9963627826858283,0.996351287077144,0.9963393457798695,0.9963269749150889,0.996314118627422,0.9963009174561677,0.9962873791258067,0.9962735109659062,0.996259319911119,0.9962448125011845,0.9962299948809282,0.9962148649035428,0.9961994104455248,0.9961836786219975,0.996167670105608,0.9961513855584233,0.9961348256319306,0.9961179909670362,0.9961008821940669,0.9960834999327693,0.9960658447923096,0.9960479173712741,0.9960297182576687,0.9960112480289194,0.9959925072518716,0.9959734964827914,0.9959542162673642,0.9959346671406952,0.9959148496273097,0.9958947642411525,0.9958744114855886,0.995853791853403,0.9958329058268002,0.9958117538774046,0.9957903364662606,0.9957686540438324,0.9957467070500041,0.9957244959140796,0.9957020210547827,0.9956792828802569,0.9956562817880658,0.9956330181651928,0.9956094923880409,0.9955856577098556,0.9955615479841554,0.9955371846403235,0.9955125676070418,0.995487696811418,0.995462572178985,0.9954371936337019,0.9954115610979524,0.9953856744925466,0.9953595337367199,0.9953331387481333,0.9953064894428734,0.9952795857354524,0.995252427538808,0.9952250147643037,0.9951973473217282,0.9951694251192961,0.9951412480636473,0.9951128160598479,0.9950841290113891,0.9950551868201872,0.9950259893865853,0.994996536609351,0.994966828385678,0.9949368646111855,0.9949066451799182,0.9948761699843466,0.9948454389153666,0.9948144518622996,0.9947832087128926,0.9947517093533186,0.9947199582316527,0.9946879651761686,0.9946557132902055,0.9946232025749074,0.9945904330271789,0.994557404639684,0.9945241174008469,0.9944905712948515,0.9944567663016416,0.9944227023969212,0.9943883795521536,0.9943537977345622,0.9943189569071308,0.9942838570286024,0.9942484980534804,0.9942128799320273,0.9941770026102666,0.9941408660299809,0.994104470128713,0.9940678148397653,0.9940309000922003,0.9939937258108406,0.9939562919162681,0.9939185983248251,0.9938806449486137,0.9938424316954959,0.9938039584690931,0.9937652251687873
PE_T1,0.7541570222023435,0.7558624738651007,0.7576472392419288,0.7595147847467223,0.7614684778957911,0.7635117069530578,0.7656478686333046,0.7678803710825095,0.7702124023310274,0.7726471025270258,0.7751872300822352,0.777835210709045,0.7805928503507807,0.7834604856270793,0.7864351508072649,0.7895101130106722,0.792673985878992,0.7959022313939863,0.7991426402461066,0.8023070361993817,0.8052654880057311,0.8078266104946338,0.8097577923949502,0.8109105982795983,0.811360346502775,0.8114253277720439,0.8113589461838999,0.8112245620103535,0.8110518182430034,0.8108481887117656,0.810627910072436,0.8103930566304017,0.8101491851986176,0.8098938777646475,0.8096312969286241,0.8093634063119787,0.8090912320282293,0.8088151632403074,0.8085354250952795,0.808252418053291,0.8079662785722257,0.8076771225307984,0.8073850628947402,0.8070902097167996,0.8067926701367423,0.8064925412091352,0.8061898153491435,0.8058847666856662,0.8055774771239406,0.805268026980214,0.8049564949817442,0.8046429582667987,0.8043274923846552,0.8040101529678291,0.803690971821149,0.8033701175660363,0.8030476503615154,0.8027236296696342,0.8023981142554638,0.8020711621870996,0.8017428308356602,0.8014131768752875,0.8010822562831476,0.8007501243394295,0.8004168356273467,0.8000824440331352,0.7997470027460556,0.7994105642583914,0.79907318036545,0.7987349021655624,0.798395780060083,0.79805586375339,0.797715202252885,0.7973738438689931,0.7970318362151637,0.7966892262078689,0.7963460600666048,0.796002383313891,0.7956582407752707,0.795313676579311,0.7949687341576018,0.7946234562447577,0.794277884878416,0.7939320613992379,0.7935860264509083,0.793239490807434,0.7928927277689498,0.7925459232058667,0.7921991121414537,0.7918523289649255,0.7915056074314435,0.791158980662115,0.7908124811439929,0.7904661407300769,0.790119990639312,0.7897740614565896,0.7894283831327472,0.7890829849845683,0.7887378956947819,0.7883931433120642,0.7880487552510365,0.7877047582922663,0.7873611785822673,0.7870180416334992,0.7866753723243679,0.786333194899225,0.7859915329683684,0.7856504095080421,0.7853098468604358,0.7849698667336855,0.7846304902018734,0.7842917377050272,0.7839536290491214,0.7836161834060759,0.7832794193137567,0.7829433546759763,0.7826076539159321,0.7822715647058889,0.7819364003254929,0.7816021667658304,0.781268869590045,0.7809365139333371,0.7806051045029636,0.7802746455782391,0.7799451410105346,0.7796165942232781,0.7792890082119547,0.778962385544106,0.7786367283593312,0.7783120383692858,0.7779883168576828,0.7776655646802914,0.7773437822649384,0.7770229696115073,0.7767031262919383,0.7763842514502287,0.7760663438024329,0.7757494016366621,0.7754334228130842,0.7751184047639245,0.7748043444934645,0.7744912385780436,0.7741790831660574,0.7738678739779585
PE_T2,0.04280352099286998,0.04332127098831546,0.04388671363935584,0.04450487770713645,0.04518482508835608,0.04593599893580233,0.04677041770109231,0.047702557677195445,0.04875623274802045,0.04995909493762205,0.05134569654046698,0.052961979149206174,0.05487471062820058,0.057204316656712745,0.060174319885932956,0.06413656226350123,0.06967070959331187,0.07785255101489187,0.09058805103174102,0.11055879637209007,0.14087722172208136,0.18456149029186603,0.2409338875087227,0.29953117484658076,0.34077019157112026,0.3552106230479078,0.3610224206045121,0.3639607884931163,0.3656137291820783,0.36636350439679627,0.36669232279914366,0.36666994462075575,0.36648253178783463,0.366071387802524,0.3655374143401525,0.36492787102845226,0.36427103859968246,0.3635770958984899,0.36285126503091186,0.3621037736827329,0.36133605431358407,0.36054895922859226,0.3597433118483569,0.358919906708949,0.3580795094619122,0.3572227775536694,0.3563492145102516,0.3554614427814559,0.3545599622649881,0.3536452586166301,0.35271780325023994,0.3517780533377516,0.3508264518091749,0.34986319337054167,0.34888817457496313,0.347903044692664,0.34690807434937704,0.34590353131682866,0.3448896805127388,0.34386678400082116,0.3428351009907829,0.34179488783832473,0.3407463980451411,0.3396898822589201,0.33862558827334316,0.33755376102808565,0.3364746426088163,0.33538847224719764,0.3342954863208855,0.3331959183535297,0.33208999901477326,0.33097795612025327,0.3298600146315999,0.3287363966564374,0.3276073214483834,0.326473005407049,0.32533366207803904,0.3241895021529522,0.32304073346938034,0.32188756101090915,0.32073018690711796,0.3195688104335796,0.3184036280118605,0.31723483320952084,0.3160626167401142,0.31488310344600945,0.3136993672442615,0.3125134086454656,0.3113253719851463,0.31013539952148106,0.3089436314353003,0.3077502058300869,0.3065552587319767,0.3053589240897585,0.30416133377487364,0.3029626175814165,0.30176290322613414,0.30056231634842634,0.299360980510346,0.2981590171965984,0.2969565458145419,0.2957536836941876,0.29455054608819947,0.2933472461718941,0.2921438950432412,0.2909406017228629,0.2897374731540344,0.28853461420268367,0.28733212765739147,0.28613011422939116,0.28492867255256926,0.28372789918346486,0.28252788860126987,0.28132873320782914,0.2801305233276402,0.2789333472078534,0.27773560813752024,0.27653372268356263,0.27533396015157646,0.2741363557586151,0.2729409436274188,0.2717477567864138,0.270556827169713,0.2693681856171159,0.2681818618741081,0.2669978845918618,0.26581628132723584,0.26463707854277513,0.26346030160671136,0.2622859747929624,0.26111412128113276,0.25994476315651327,0.25877792141008127,0.2576136159385005,0.25645186554412114,0.2552926879349799,0.2541360997247999,0.2529821164329905,0.2518307524846478,0.2506820212105543,0.2495359348471786,0.2483925045366762,0.24725174032688882,0.24611365117134465
efficacy_V,0.18355525416981833,0.19308675221205363,0.2031996947716248,0.21395073248256113,0.22540235429608124,0.23762149503244634,0.2506894914871636,0.2646956878735913,0.27975087712501,0.2959715334600055,0.3134973532953761,0.33249021900779197,0.3531403460092185,0.3756713536499835,0.4003500410994878,0.42749130868699636,0.457461429059814,0.49070430136271403,0.5277840190661525,0.5694050415543135,0.6164304530817888,0.6699784538178519,0.7316209452766333,0.8032029634635651,0.8842024641923386,0.9208948968844959,0.9296638903972552,0.9335256555494691,0.9356149722059859,0.9367707138979926,0.937495371465265,0.9378693300959231,0.9381182528097814,0.9381988655859007,0.938185351094589,0.9381119671291662,0.9380041370522922,0.9378711687506853,0.937717518071111,0.9375534097878108,0.9373798929220067,0.9371974240324014,0.9370064369100092,0.9368073425781718,0.9366005292925564,0.9363862762568647,0.9361636161026055,0.9359349828529414,0.9357005102894227,0.935460325354025,0.9352145481491365,0.9349632919375745,0.934706663142584,0.9344446245832535,0.9341769662906395,0.9339045042592873,0.9336272501388831,0.9333452153958736,0.9330584113134719,0.9327668489916421,0.9324705393471132,0.9321694931133818,0.9318637208406947,0.9315532328960661,0.9312380394632697,0.9309181505428373,0.9305935759520603,0.9302643253250011,0.9299304081124746,0.9295918335820553,0.9292486108180829,0.9289007487216532,0.9285482560106255,0.9281911412196229,0.9278294127000277,0.9274630786199787,0.9270921469643778,0.9267166255348908,0.926336521949941,0.9259518436447135,0.9255625978711531,0.9251687916979664,0.9247704320106214,0.9243675255113477,0.9239600787191293,0.9235472820192618,0.9231297217263803,0.9227077689794877,0.9222814225434147,0.9218506811557285,0.9214155435267193,0.9209760083394214,0.9205320742495882,0.9200837398857152,0.919631003849029,0.9191738647134842,0.9187123210257706,0.9182463713053141,0.9177760140442673,0.9173012477075176,0.916822070732683,0.9163384815301177,0.9158504784829029,0.91535805994686,0.9148612242505393,0.9143599696952138,0.9138542945549066,0.9133441970763599,0.9128296754790541,0.9123107279552005,0.9117873526697426,0.9112595477603571,0.9107273113374544,0.9101906414841725,0.9096495362563853,0.9091039936827015,0.9085540908000653,0.9079999978259599,0.9074414221243451,0.9068783637150355,0.9063108225444194,0.9057387984854467,0.9051622913376316,0.9045813008270537,0.903995826606355,0.9034058682547509,0.902811425278009,0.9022124971084646,0.901609083105029,0.9010011825531672,0.9003887946649122,0.8997719185788571,0.8991505533601701,0.8985246980005743,0.8978943514183658,0.8972595124583973,0.8966201798920908,0.8959763524174342,0.8953280286589759,0.8946752071678316,0.8940178864216847,0.893356064824781,0.8926897407079242,0.8920189123284953
efficacy_T1,0.12660618554497838,0.13266505672546902,0.13900570169462523,0.14564043540437732,0.15258122145824726,0.1598400971687437,0.16742912987131275,0.17536042751242786,0.18364531604500878,0.1922949513133697,0.2013191329862447,0.21072647876838024,0.22052340454256392,0.2307111062002194,0.24127904754116425,0.2522033090034924,0.26344343885250077,0.27491226212171316,0.28642429745866127,0.29766628564492426,0.30817662655917855,0.3172753958626905,0.324136207350713,0.32823172204850415,0.32982951963338347,0.3300603752760516,0.3298245447919025,0.329347124989281,0.3287334270132769,0.3280100027584262,0.32722743006600874,0.3263930782150277,0.32552668861158784,0.32461967090617516,0.32368681335607674,0.32273509201904815,0.3217681523162754,0.32078737680706604,0.3197935653599252,0.3187881406691965,0.31777158752184786,0.31674431759428134,0.3157067322140915,0.31465922236006705,0.31360216866219215,0.3125359159212787,0.31146043719107097,0.31037670635533365,0.3092850143946274,0.3081856466443905,0.3070788827949371,0.30596499689145884,0.30484425733402276,0.3037168617654301,0.30258292317707447,0.30144304062168303,0.3002974278231554,0.29914629602927756,0.29798985401172207,0.2968283080660511,0.29566186201171285,0.294490717192042,0.29331507247426347,0.2921351242494863,0.2909510664327102,0.28976309046281934,0.28857138530258764,0.2873761374386753,0.28617753088163034,0.284975747165888,0.2837709653497711,0.2825633620154897,0.28135311126914153,0.28014038474071135,0.27892535158407294,0.27770817847698503,0.2764890296210958,0.27526806674193915,0.274045449088938,0.2728213334354025,0.2715958740785285,0.27036922283940223,0.26914152906299493,0.2679129396181661,0.26668359889766313,0.2654524793830445,0.2642205520137668,0.2629884771221631,0.26175637913361616,0.26052438022093605,0.2592926003043634,0.25806115705156807,0.25683016587764673,0.2555997399451273,0.25436999016396444,0.25314102519154225,0.251912951432675,0.2506858730396042,0.24945989191199935,0.24823510769696233,0.24701161778902048,0.2457895173301312,0.2445688992096806,0.2433498540644835,0.24213247027878448,0.24091683398425545,0.23970302905999796,0.23849113713254277,0.23728123757584862,0.23607340751130335,0.23486772180772442,0.23366425308135663,0.2324630716958751,0.23126424576238302,0.2300678411394117,0.2288739214329233,0.22768129445631802,0.2264872874532039,0.22529656604523107,0.22410915151662558,0.22292506363128506,0.22174432063277327,0.22056693924432258,0.21939293466883547,0.21822232058888125,0.21705510916669846,0.21589131104419368,0.21473093534294174,0.21357398966418706,0.21242048008884118,0.21127041117748602,0.21012378597036874,0.2089806059874083,0.2078408712281904,0.2067045801719689,0.2055717297776669,0.20444231548387592,0.20331633120885606,0.20219376935053535,0.2010746207865104,0.19995887487404596,0.19884651945007714,0.19773754083120543,0.19663192381370054
efficacy_T2,0.008163252498024631,0.008699739502275317,0.00928564512584007,0.009926180117199479,0.010630734316731227,0.011409092618291705,0.012273708412823492,0.013239581880174378,0.014331388711991244,0.015577781639663835,0.0170145633809351,0.018689338122437338,0.020671290010662258,0.023085202845650077,0.026162688406394796,0.03026832155358128,0.03600274578954343,0.04448068230741942,0.0576770711278477,0.07837054371991992,0.10978617159572279,0.1550513431728272,0.21346381786397162,0.2741816998874249,0.31691312767189994,0.3318761482247109,0.3378982706542266,0.3409429760135908,0.3426557354655,0.34343264451879585,0.34377336262824953,0.34375017459929824,0.3435559794275427,0.34312995643008193,0.34257665884302824,0.3419450565868588,0.3412644538536763,0.34054539785336846,0.33979329967632366,0.3390187571410932,0.33822325454701696,0.33740767504354574,0.3365728718502923,0.33571966825703015,0.3348488576236949,0.3339611211892335,0.3330559445126329,0.33213604494830706,0.3312019404849086,0.3302541343537613,0.3292931150288596,0.3283193562268689,0.32733331690712497,0.3263351988219344,0.325324894780738,0.3243041137396918,0.3232731361182841,0.3222322393787118,0.32118169802588137,0.32012178360740806,0.31905276471361643,0.31797490697754016,0.31688847307492174,0.31579372272421324,0.31469091268657556,0.31358029676587884,0.31246212580870214,0.3113366477043338,0.31020410738477144,0.3090647468247213,0.30791880504159896,0.3067665180955298,0.30560811908934715,0.3044438381685941,0.303273902521523,0.3020985363790949,0.3009179610149799,0.299732394745558,0.29854205292991753,0.29734714796985606,0.2961478893098808,0.29494448343720725,0.2937371338817606,0.2925260412161751,0.29131140305579395,0.29008920400375227,0.2888626292200047,0.2876337516122206,0.2864027207393255,0.2851696840077207,0.28393478667128214,0.28269817183136114,0.28145998043678355,0.28022035128385103,0.27897942101633966,0.277737324125501,0.2764941929500615,0.2752501576762225,0.27400534633766116,0.2727598848155286,0.27151389683845184,0.27026750398253263,0.2690208256713478,0.2677739791759495,0.26652707961486455,0.2652802399540952,0.26403357100711866,0.262787181434887,0.26154117774582764,0.2602956642958427,0.25905074328831,0.2578065147740818,0.2565630766514857,0.2553205246663245,0.2540789524118756,0.25283845132889216,0.25159736692257717,0.25035198607792586,0.24910880498230148,0.24786786012723794,0.2466291868703534,0.24539281943534963,0.24415879091201287,0.2429271332562133,0.24169787728990455,0.2404710527011248,0.23924668804399607,0.2380248107387245,0.2368054470715999,0.23558862219499643,0.23437436012737212,0.23316268375326898,0.23195361482331323,0.23074717395421462,0.22954338062876745,0.22834225319584966,0.2271438088704234,0.2259480637335346,0.22475503273231345,0.2235647296799741,0.22237716725581436,0.22119235700521633,0.22001030933964638,0.21883103353665445
