,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215
time point,-24.0,-23.0,-22.0,-21.0,-20.0,-19.0,-18.0,-17.0,-16.0,-15.0,-14.0,-13.0,-12.0,-11.0,-10.0,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0,126.0,127.0,128.0,129.0,130.0,131.0,132.0,133.0,134.0,135.0,136.0,137.0,138.0,139.0,140.0,141.0,142.0,143.0,144.0,145.0,146.0,147.0,148.0,149.0,150.0,151.0,152.0,153.0,154.0,155.0,156.0,157.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,168.0,169.0,170.0,171.0,172.0,173.0,174.0,175.0,176.0,177.0,178.0,179.0,180.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0
PE_V,0.947244768980877,0.9475508026969863,0.9478804700264241,0.9482389904163415,0.948632880029735,0.949067903759463,0.9495476975178319,0.9500777040427341,0.9506642638385805,0.9513161222560466,0.9520439926675873,0.9528593705289065,0.9537762747052235,0.9548113993274583,0.9559840056361022,0.9573164626078186,0.9588345196055914,0.9605693733560771,0.9625594024875281,0.9648540592724039,0.9675049793650704,0.970575304617029,0.9741382141819009,0.9782278900567185,0.9830304817430312,0.9861649797261909,0.9872884481390611,0.9878576620603987,0.9882055589187557,0.9884349328176243,0.9885973223665134,0.9887259085503171,0.9888246372399897,0.9889020090075505,0.9889745043194471,0.9890447334974629,0.9891153853195372,0.9891908958638564,0.9892732460977327,0.98936537365672,0.9894692174475779,0.9895881176566518,0.9897260823780921,0.9898888191475964,0.990085444951524,0.9903177277956169,0.9905901933363599,0.9908891149329188,0.9911935999770748,0.991433456092925,0.9916171643155428,0.9917386905679522,0.9918103988123116,0.9918630571337009,0.9919001536116996,0.9919225233947574,0.9919415746794399,0.991958832691728,0.9919758226576032,0.9919925556097483,0.9920126705988773,0.9920340109187804,0.9920612826466141,0.9920935866141446,0.99213301872479,0.9921799450352075,0.9922373592197511,0.9923076084209206,0.9923939408662529,0.9924983959811442,0.9926228803623184,0.9927696286591405,0.9929333148567794,0.9931081068995671,0.9932125786465019,0.9932709672070791,0.9932996997402931,0.9933128748762314,0.9933156276816644,0.9933068013804042,0.9932965132602634,0.9932834831635845,0.9932643789337169,0.9932429749536099,0.9932202422859181,0.9931965888261483,0.9931724174139417,0.9931477280492986,0.993122520732219,0.9930967954627028,0.9930705522407501,0.9930437495412843,0.9930160936095491,0.9929880364596799,0.9929595780916766,0.9929307185055389,0.9929014577012673,0.9928717956788613,0.9928417324383212,0.9928111675651157,0.9927801237189535,0.9927487406887995,0.9927170184746537,0.992687501432873,0.9926554834103896,0.9926234653879061,0.9925914473654226,0.9925583740576734,0.992524733044227,0.9924907450047206,0.9924564099391544,0.9924217278475285,0.9923866987298425,0.9923513225860969,0.9923155994162915,0.9922795292204263,0.9922431119985011,0.9922063477505163,0.9921692364764716,0.992131778176367,0.9920939728502026,0.9920558204979785,0.9920173211196945,0.9919784747153507,0.991939281284947,0.9918997408284835,0.9918597482766742,0.9918193765421186,0.991778674195885,0.9917376412379733,0.9916962776683833,0.9916545834871153,0.9916125586941693,0.991570203289545,0.9915275172732427,0.9914845006452624,0.9914411534056039,0.9913974755542673,0.9913534670912525,0.9913091280165597,0.9912644583301888,0.9912194580321397,0.9911741271224126,0.9911284656010073,0.991082473467924,0.9910360487907768,0.9909892359865431,0.9909421113941086,0.9908946750134734,0.9908469268446372,0.9907988668876001,0.9907504951423622,0.9907018116089235,0.9906528162872839,0.9906035091774434,0.9905538902794021,0.9905039595931598,0.9904537171187168,0.990403162856073,0.9903522968052282,0.9903011189661826,0.9902496293389362,0.9901978279234889,0.9901457147198407,0.9900932897279917,0.9900405529479418,0.9899875043796911,0.9899341440232394,0.9898804718785871,0.9898264879457338,0.9897721922246796,0.9897175847154247,0.9896626654179688,0.9896074029835067,0.9895515479185459,0.989495403940724,0.9894389710500411,0.9893822492464969,0.9893252385300917,0.9892679389008253,0.9892103503586979,0.9891524729037092,0.9890943065358596,0.9890358512551487,0.9889771070615768,0.9889180739551438,0.9888587519358496,0.9887991410036943,0.988739241158678,0.9886790524008003,0.9886185747300618,0.988557808146462,0.9884967526500011,0.9884354082406791,0.9883737749184961,0.9883118526834518,0.9882496415355465,0.98818714147478,0.9881243525011525,0.9880612746146638,0.987997907815314,0.987934252103103,0.9878701461879781,0.9878056628688415,0.9877409096524906,0.9876758865389252,0.9876105935281456,0.9875450306201516,0.9874791978149433,0.9874130951125206,0.9873467225128836,0.9872800800160322,0.9872131676219665,0.9871459853306864,0.987078533142192,0.9870108110564831
PE_T1,0.7339879083608071,0.7347296778651422,0.7355061381683751,0.7363187677217762,0.7371689749437118,0.7380577787714709,0.7389862225876788,0.7399559049642453,0.7409679542205105,0.7420234768348474,0.743123715091237,0.7442701705501389,0.7454626486591922,0.7467004634918527,0.7479828348663506,0.7493077869842141,0.7506726401100663,0.752071931080601,0.7534949258319693,0.754919475298029,0.7563147255483901,0.7576332955661407,0.7588131169695296,0.7598052186494342,0.7605379088765993,0.761107060273382,0.7616031433123073,0.7620682557546914,0.7625212369722292,0.7629702993632743,0.763422331192018,0.7638812782068257,0.7643452206872138,0.7648146069692852,0.7652940342545224,0.7657803589279855,0.7662706367788674,0.766765506278618,0.7672627061016655,0.7677572796726937,0.7682446343852508,0.7687175534381274,0.7691696572039523,0.7695930810961293,0.7699814506336338,0.7703315332688372,0.7706416856231804,0.770914448065716,0.7711550741336932,0.7713725838123991,0.7715719029761856,0.7717637885323898,0.7719502607505142,0.7721390463220744,0.772329076002583,0.7725167367469398,0.7727085536270812,0.7729015752885283,0.7730928503768021,0.7732800724909782,0.7734593899167778,0.7736387008000053,0.773805881777286,0.7739636521487196,0.7741056177877085,0.7742312103972707,0.7743331471985154,0.774406219118003,0.7744455621598203,0.7744483790551923,0.7744131133744756,0.7743402980070968,0.7742328023121221,0.7741033216028667,0.7739511534006337,0.7737823302744892,0.7736021449892078,0.7734143305472322,0.7732205940777606,0.7730198393561045,0.7728181986063787,0.7726140164180889,0.7724042036598951,0.7721922338364599,0.7719787154396149,0.7717639452029358,0.7715483657538655,0.7713319770924041,0.7711147792185513,0.7708967721323075,0.7706779558336724,0.7704582173452648,0.7702367574477716,0.770014805937201,0.7697923628135528,0.7695694280768272,0.7693460017270239,0.7691220837641434,0.7688976741881852,0.7686726458207852,0.7684470273612227,0.7682209958569002,0.7679945513078176,0.7677707921298391,0.767543987357141,0.7673171825844428,0.7670903778117447,0.7668627773781583,0.7666352144594916,0.7664079055193759,0.7661808505578115,0.7659540495747982,0.7657275025703361,0.7655012095444251,0.7652751704970653,0.7650493854282566,0.7648238543379992,0.7645985772262929,0.7643735540931378,0.7641487849385338,0.7639242697624811,0.7637000085649794,0.763476001346029,0.7632522481056296,0.7630287488437817,0.7628055035604847,0.7625805747210779,0.7623553068734708,0.7621305956945226,0.7619064411842332,0.761682843342603,0.7614598021696319,0.7612373176653198,0.7610153898296667,0.7607940186626726,0.7605732041643375,0.7603529463346616,0.7601332451736447,0.7599141006812866,0.7596955128575877,0.7594774817025478,0.7592600072161669,0.759043089398445,0.7588267282493822,0.7586109237689784,0.7583945461317064,0.7581780876583808,0.7579623944944217,0.7577474666398292,0.7575333040946032,0.7573199068587437,0.7571072749322508,0.7568954083151245,0.7566843070073648,0.7564739710089715,0.7562644003199449,0.7560555949402848,0.7558475548699913,0.7556402801090644,0.755433770657504,0.7552280265153101,0.7550230476824826,0.754818834159022,0.7546153859449277,0.7544127030402001,0.7542107854448391,0.7540096331588446,0.7538092461822167,0.7536096245149553,0.7534107681570604,0.7532126771085321,0.7530153513693703,0.7528187909395752,0.7526228895596005,0.7524268015492075,0.7522315563861662,0.7520371540704771,0.7518435946021398,0.7516508779811547,0.7514590042075214,0.7512679732812402,0.7510777852023108,0.7508884399707336,0.7506999375865082,0.7505122780496349,0.7503254613601136,0.7501394875179442,0.7499543565231269,0.7497700683756615,0.7495866230755481,0.7494040206227867,0.7492222610173773,0.7490413442593198,0.7488612703486144,0.7486820392852609,0.7485036510692594,0.7483261057006099,0.7481494031793123,0.7479735435053668,0.7477985266787732,0.7476243526995316,0.7474510215676421,0.7472785566506762,0.7471069474015883,0.7469361782448809,0.746766249180554,0.7465971602086078,0.7464289113290421,0.7462615025418569,0.7460949338470522,0.745929205244628,0.7457643167345844,0.7456002683169214,0.7454370599916389,0.7452746917587368,0.7451131636182154
PE_T2,0.038243983972300465,0.03847728149040773,0.03872827253035609,0.03900253382329743,0.03930959068153586,0.0396583439818134,0.04005357148591976,0.04050228302836233,0.0410148643533035,0.04161387379021676,0.04231257759499599,0.04308579808834935,0.04399420804275098,0.04510692944047147,0.04648416105795609,0.0482004127941191,0.050349852315572936,0.053123224081838574,0.05689527246761286,0.06235827111650133,0.07042479450702198,0.08223190917324001,0.09855348746997443,0.11823210867327265,0.13572427143224222,0.14520442453381965,0.1499761976111119,0.15295508536465738,0.1550936791961937,0.15673437822935612,0.15807703746175605,0.15926337063839296,0.1603445588832899,0.1613829203649774,0.16246028549618624,0.16362914108074655,0.1649407964612561,0.16642379334689766,0.16813007095034446,0.17010924806630798,0.1724344720526012,0.1751826783322191,0.1783494391201422,0.1819529246128645,0.18584219531388568,0.18981793121760168,0.1936745147104034,0.19711637920268427,0.19999706086565835,0.20215031039480283,0.2036968151848356,0.20480630734838046,0.20557682087996387,0.20621748657704475,0.20677065454060967,0.20726090011640927,0.20778363853755338,0.20836806869959973,0.209043389498106,0.20981480274956205,0.21074500744446173,0.21178458046324095,0.21303020399287678,0.21446104716613515,0.2161259908720066,0.2180177590431685,0.22015010389727022,0.22253081185788595,0.2251048739171426,0.22774963523638347,0.23029963512228185,0.23259485288604034,0.23439659499814963,0.2357953694273896,0.23652515815166725,0.23679673348592323,0.2367753565127422,0.23658074001494653,0.2362590091448205,0.23580099356855552,0.23532577255823753,0.23481109066119726,0.23420910253390054,0.23357813198226324,0.23293013545751465,0.2322702890169406,0.2316037470617753,0.23093050959201872,0.23025057660767087,0.22956394810873174,0.22887062409520134,0.22816960664829677,0.22745383633757854,0.22673417583769817,0.2260106251486556,0.22528318427045094,0.22455185320308405,0.22381663194655504,0.22307752050086385,0.2223342289993347,0.22158682285375966,0.22083570559301124,0.22008087721708947,0.2193501763024361,0.2185921113975598,0.2178340464926835,0.2170759815878072,0.21630301800075685,0.21552611626752355,0.21474883049243929,0.2139711606755041,0.21319310681671796,0.21241466891608088,0.21163584697359286,0.2108566409892539,0.21007705096306403,0.2092970768950232,0.20851671878513142,0.2077359766333887,0.20695485043979503,0.20617334020435044,0.20539144592705488,0.2046091676079084,0.20382650524691096,0.20304345884406258,0.2022600283993633,0.20146739147098272,0.20067167037299163,0.1998769435134576,0.1990832108923806,0.19829047250976065,0.19749872836559768,0.19670797845989177,0.19591822279264284,0.19512946136385095,0.19434169417351613,0.19355492122163828,0.1927691425082175,0.1919843580332537,0.19120056779674693,0.19041777179869723,0.1896359700391045,0.18885516251796886,0.18807534923529018,0.18729653019106857,0.18651141434134036,0.1857231787542608,0.1849372838158002,0.18415372952595865,0.1833725158847361,0.18259364289213253,0.18181711054814798,0.18104291885278243,0.18027106780603586,0.1795015574079083,0.17873438765839977,0.1779695585575102,0.17720707010523967,0.17644692230158815,0.17568911514655564,0.1749336486401421,0.17418052278234755,0.17342973757317204,0.1726812930126155,0.17193518910067798,0.17119142583735947,0.17045000322265996,0.16971092125657944,0.16897417993911792,0.16823977927027542,0.16750771925005192,0.1667779998784474,0.1660506211554619,0.16532476361072582,0.16459390538409502,0.16386598577665584,0.1631410047884083,0.1624189624193523,0.16169985866948797,0.16098369353881525,0.16027046702733416,0.15956017913504467,0.1588528298619468,0.1581484192080405,0.15744694717332586,0.15674841375780285,0.15605281896147144,0.15536016278433162,0.15467044522638346,0.15398366628762689,0.1532998259680619,0.15261892426768855,0.15194096118650685,0.15126593672451674,0.15059385088171826,0.14992470365811136,0.14925849505369612,0.14859522506847245,0.1479348937024404,0.1472775009556,0.1466230468279512,0.145971531319494,0.14532305923820849,0.14467758327859892,0.1440350335816128,0.1433954101472502,0.1427587129755111,0.14212494206639545,0.14149409741990332,0.14086617903603466,0.14024118691478948,0.1396191210561678,0.13899998146016962,0.13838376812679493,0.1377704810560437,0.13716012024791596
efficacy_V,0.08632350325017468,0.09162375136245748,0.09733331389938116,0.10354258732203803,0.11036442612587238,0.11789867343562022,0.1262083002127251,0.13538757012724134,0.1455462954147677,0.15683593823770203,0.16944204525035733,0.1835637081350745,0.19944372191738524,0.21737121498816936,0.23767977592992984,0.26075681671753204,0.2870482947908417,0.31709451137441524,0.3515601522242341,0.39130168935613463,0.43721340913522755,0.4903888756415762,0.5520954906365634,0.6229252577319081,0.7061021306694832,0.7603890152304588,0.7798465488977513,0.7897048581403063,0.7957301408778358,0.7997027050447544,0.8025151562703785,0.8047421614730577,0.8064520598388918,0.8077920741685931,0.8090476323630106,0.8102639430131495,0.8114875735050426,0.8127953530042212,0.8142215902084013,0.8158171625094508,0.8176156501514801,0.8196749023695225,0.8220643360034114,0.824882800799806,0.8282881953404538,0.832311140006718,0.8370300153853677,0.8422070875329196,0.8474805139416933,0.8516346213433763,0.8548162941751138,0.8569210272682979,0.8581629541109772,0.8590749522139578,0.8597174321994454,0.8601048581403896,0.860434810463809,0.8607337048085721,0.8610279568135554,0.8613177575556028,0.8616661323507562,0.8620357288505138,0.8625080523768454,0.8630675300876661,0.8637504612779564,0.864563185742988,0.8655575514197975,0.8667742088542185,0.8682694146316032,0.870078489894811,0.8722344553051429,0.874776013121388,0.8776109212193308,0.8806381732705277,0.8824475365868245,0.8834587776419356,0.8839564010961899,0.8841845834359466,0.8842322597246409,0.8840793955657908,0.8839012139260405,0.8836755435450021,0.8833446742552398,0.8829739752139721,0.8825802644145463,0.8821706062661308,0.8817519776145306,0.8813243784597496,0.880887808801786,0.8804422686406416,0.8799877579763163,0.8795235576291974,0.8790445800124951,0.8785586536331379,0.878065778491124,0.8775659545864515,0.8770591819191241,0.8765454604891382,0.8760247902964954,0.8754954322454636,0.8749577787832544,0.8744142509378708,0.8738648487093146,0.8733536382225516,0.8727991128408902,0.8722445874592288,0.8716900620775655,0.8711172600373427,0.8705346258090562,0.8699459813795335,0.8693513267487767,0.8687506619167858,0.868143986883557,0.8675313016490959,0.8669126062134007,0.8662879005764694,0.8656571847383021,0.8650204586989025,0.8643777224582669,0.8637289760163953,0.8630742193732895,0.8624134525289496,0.8617466754833756,0.8610738882365655,0.8603950907885193,0.859710283139239,0.8590176455765304,0.8583184408856606,0.8576135102769256,0.8569028537503254,0.8561864713058563,0.8554643629435221,0.8547365286633228,0.8540029684652546,0.8532636823493212,0.8525186703155225,0.851767932363857,0.8510114684943244,0.8502492787069247,0.8494813630016599,0.8487077213785299,0.8479283538375311,0.847143260378667,0.8463524410019361,0.8455558957073398,0.844751859111173,0.843941100478351,0.8431249419345526,0.8423033834797796,0.8414764251140263,0.8406440668372965,0.8398063086495903,0.8389631505509056,0.8381145925412445,0.8372606346206068,0.8364012767889909,0.8355365190463965,0.8346663613928256,0.8337908038282801,0.8329098463527543,0.8320234889662521,0.8311317316687753,0.8302345744603181,0.8293320173408846,0.8284240603104744,0.827510703369086,0.8265919465167211,0.8256677897533777,0.8247382330790598,0.8238032764937635,0.8228629199974887,0.8219171635902395,0.8209660072720099,0.8200089081077038,0.8190415450786124,0.8180691783203025,0.817091807832778,0.816109433616033,0.8151220556700736,0.8141296739948954,0.8131322885905008,0.8121298994568877,0.81112250659406,0.8101101100020118,0.809092709680749,0.8080703056302677,0.8070428978505699,0.8060104863416535,0.8049730711035226,0.8039306521361712,0.8028832294396051,0.8018308030138206,0.8007733728588196,0.7997109389746,0.7986435013611657,0.7975710600185111,0.7964936149466417,0.7954111661455541,0.7943237136152497,0.7932312573557269,0.7921337973669894,0.7910313336490316,0.7899210727929833,0.788804275614972,0.7876828040428481,0.7865566580766092,0.7854258377162596,0.7842903429617972,0.7831501738132219,0.782005330270534,0.7808558123337331,0.7797016200028195,0.7785427532777951,0.7773792121586558,0.7762109966454038,0.7750381067380391
efficacy_T1,0.0549524029962829,0.05758764969985519,0.06034614063617805,0.06323312822371063,0.06625361607858327,0.06941122412735867,0.07270965914229877,0.07615460028833532,0.07975005608806673,0.08349995747080197,0.08740871783551074,0.09148167169948995,0.09571812788648504,0.10011564954023011,0.10467146494872437,0.10937855479346037,0.11422739891517475,0.11919858861209454,0.12425398952279276,0.12931491378911786,0.1342717482254674,0.13895616470848393,0.14314765606248814,0.14667224512458565,0.14927523634300632,0.15129723149573182,0.15305964041843023,0.15471202168163933,0.15632130496077135,0.15791666602479992,0.15952257645876167,0.16115305412172587,0.1628012789205947,0.16446884363618564,0.16617208051184607,0.1678998213870364,0.16964160651411475,0.17139970415805195,0.1731660806227694,0.1749231269358209,0.17665452717839059,0.178334642588725,0.1799408085898878,0.18144508506600632,0.18282482572330638,0.18406854645461979,0.18517040891271674,0.18613943813722567,0.18699429810211332,0.18776703364928116,0.18847514468142434,0.189156846714866,0.18981931705807664,0.19049000593410692,0.19116511469257513,0.19183180745234185,0.1925132655038364,0.19319900372045729,0.1938785369756033,0.19454367143628815,0.19518072331354885,0.1958177519473473,0.196411687282656,0.19697219003831257,0.1974765441267179,0.1979227305881559,0.19828487626532776,0.19854447514857643,0.19868424716758182,0.19869425460816792,0.198568968022086,0.19831028057843547,0.19792838610289465,0.197468386587887,0.1969277863731581,0.1963280170592957,0.19568788198189635,0.19502064318843437,0.19433236550978483,0.19361915444438138,0.1929027956322229,0.19217740798083782,0.19143201689079414,0.19067896250503125,0.18992040658146048,0.18915740331032782,0.18839152519158586,0.18762277222523438,0.18685114441127293,0.18607664174970218,0.1852992642405219,0.18451861051474872,0.18373184122667274,0.1829433254098779,0.18215306306436463,0.1813610541901327,0.18056729878718203,0.17977179685551314,0.1789745483951254,0.1781751015859273,0.1773735583863858,0.17657054778378178,0.17576606977811515,0.17497113195347336,0.17416537419973177,0.17335961644598974,0.17255385869224804,0.17174527423463037,0.1709368230543552,0.17012927417073087,0.16932262758375827,0.16851688329343661,0.16771204129976625,0.16690810160274716,0.16610506420237903,0.16530292909866218,0.1645016962915966,0.16370136578118233,0.16290193756741944,0.1621034116503074,0.16130578802984707,0.1605090667060376,0.1597132476788795,0.15891833094837227,0.1581243165145172,0.15733120437731263,0.15653211115614207,0.15573181355782062,0.15493349360786557,0.15413715130627648,0.15334278665305445,0.15255039964819928,0.1517599902917105,0.15097155858358846,0.15018510452383316,0.14940062811244426,0.14861812934942242,0.14783760823476744,0.1470590647684784,0.14628249895055656,0.145507910781001,0.1447353002598123,0.14396466738698988,0.14319601216253475,0.1424293345864459,0.14166062078517017,0.1408916198017678,0.1401253376939373,0.13936177446167897,0.13860093010499253,0.1378428046238781,0.1370873980183358,0.1363347102883654,0.13558474143396748,0.13483749145514123,0.13409296035188722,0.13335114812420534,0.13261205477209548,0.13187568029555763,0.1311420246945918,0.13041108796919798,0.12968287011937585,0.1289573711451264,0.12823459104644863,0.12751452982334321,0.12679718747580992,0.12608256400384854,0.12537065940745928,0.12466147368664193,0.12395500684139671,0.12325125887172339,0.12255022977762176,0.12185191955909291,0.1211559507132639,0.12045931883506134,0.11976568129767817,0.11907503810111575,0.11838738924537273,0.11770273473045068,0.11702107455634803,0.11634240872306567,0.11566673723060317,0.11499406007896129,0.11432437726813882,0.11365768879813709,0.1129939946689551,0.11233329488059329,0.11167558943305178,0.11102087832633012,0.11036916156042864,0.10972043913534701,0.10907471105108602,0.10843197730764442,0.10779223790502346,0.10715549284322234,0.10652174212224153,0.10589098574208045,0.10526322370273966,0.10463845600421906,0.10401668264651842,0.10339790362963786,0.10278211895357758,0.10216941163511806,0.10155974420430791,0.10095306132687087,0.10034936300280728,0.09974864923211768,0.09915092001480164,0.09855617535085859,0.0979644152402892,0.09737563968309326,0.09678984867927087,0.09620704222882193,0.09562722033174664,0.09505038298804436,0.09447653019771607
efficacy_T2,0.003438709034087717,0.00368044942556911,0.003940523655023731,0.004224710271588439,0.004542879301931313,0.004904253739274389,0.005313784249251552,0.005778734347359427,0.0063098656305492495,0.006930552798399381,0.007654542203289649,0.008455745003392967,0.009397029676218693,0.010550019680042766,0.011977092342762674,0.013755454024218405,0.01598268025275862,0.01885641839596608,0.022764974564337126,0.02842567529857054,0.0367841205068119,0.04901852636262083,0.06593077111797507,0.08632154780558687,0.10444673965295714,0.11426997283894058,0.11921443303347479,0.12230112464324205,0.1245171126839616,0.12621718746314325,0.12760843659043675,0.12883770233177105,0.12995801802011142,0.13103395707475207,0.13215031129360444,0.13336146694107642,0.13472059020884852,0.1362572557105186,0.1380252823023982,0.14007608444854036,0.14248545665827816,0.1453331185935457,0.14861448223089258,0.1523483753334659,0.15637839601036696,0.1604980110049381,0.16449416154650498,0.16806058469811047,0.17104551620784247,0.17327669032557647,0.1748791620381066,0.1760288059440377,0.17682720381932515,0.17749105475815008,0.17806424148191813,0.17857222870088785,0.17911388465846056,0.17971946493772295,0.18041922512176123,0.18121855527715192,0.18218242342683133,0.18325961786324052,0.18455031963381885,0.18603294401687342,0.18775814086644638,0.18971837079944742,0.19192788371662672,0.19439474782676058,0.1970619633846047,0.19980243675901144,0.20244471935033825,0.2048229994334161,0.20668994532749785,0.20813934042120452,0.20889553968700414,0.2091769431419246,0.2091547925510936,0.20895313301888963,0.20861975893447193,0.2081451680960904,0.2076527491710779,0.20711944129755966,0.2064956676426125,0.20584186270973737,0.20517041564573868,0.2044866898257811,0.20379602618526027,0.20309842472417627,0.20239388544252912,0.2016824083403187,0.20096399341754523,0.20023760664144552,0.1994959331057493,0.19875022859767655,0.19800049311722712,0.19724672666440146,0.19648892923919914,0.19572710084162037,0.19496124147166505,0.19419105077258592,0.19341659652338206,0.19263829685635225,0.19185615177149673,0.19109900730379226,0.1903135085622717,0.18952800982075135,0.1887425110792308,0.18794157448268933,0.18713655722121958,0.18633114201969403,0.18552532887811257,0.1847191177964752,0.18391250877478194,0.18310550181303287,0.1822980969112279,0.18149029406936712,0.18068209328745033,0.17987349456547774,0.17906449790344925,0.17825510330136485,0.17744531075922454,0.17663512027702855,0.17582453185477642,0.1750135454924685,0.1742021611901048,0.17339037894768516,0.17256905704540404,0.17174453935957967,0.1709210518930041,0.17009859464567711,0.16927716761759892,0.16845677080876942,0.1676374042191885,0.16681906784885636,0.16600176169777303,0.16518548576593817,0.1643702400533522,0.16355602456001483,0.16274283928592603,0.16193068423108614,0.16111955939549483,0.1603094647791522,0.15950040038205837,0.15869236620421323,0.15788536224561667,0.15707183360454358,0.1562550723250148,0.15544073640053513,0.1546288258311045,0.15381934061672298,0.15301228075739037,0.152207646253107,0.15140543710387266,0.15060565330968734,0.14980829487055114,0.14901336178646407,0.14822085405742602,0.1474307716834371,0.1466431146644972,0.14585788300060643,0.14507507669176467,0.14429469573797193,0.14351674013922844,0.14274120989553385,0.1419681050068884,0.14119742547329206,0.14042917129474475,0.13966334247124668,0.1388999390027974,0.13813896088939748,0.13738040813104646,0.13662428072774457,0.1358705786794916,0.13511845285986102,0.13436114538716903,0.1336068828802338,0.13285566533905568,0.1321074927636342,0.1313623651539697,0.13062028251006197,0.1298812448319111,0.12914525211951722,0.12841230437287998,0.12768240159199962,0.12695554377687623,0.1262317309275096,0.12551096304389986,0.12479324012604709,0.12407856217395097,0.12336692918761183,0.12265834116702956,0.12195279811220405,0.12125030002313542,0.12055084689982376,0.11985443874226887,0.11916107555047084,0.11847075732442969,0.1177834840641453,0.11709925576961788,0.11641807244084723,0.11573993407783356,0.11506484068057665,0.11439290084998377,0.1137240655686067,0.11305826244924277,0.11239549149189221,0.11173575269655478,0.11107904606323049,0.11042537159191934,0.10977472928262144,0.10912711913533679,0.10848254115006539,0.10784099532680713,0.10720248166556212,0.10656700016633025,0.10593455082911163
