"time","mean","std"
1.821,0.4094,0.114632
12.600,0.3594,0.100632
24.624,0.2521,0.0482
97.420,0.21567,0.0603876
122.831,0.1978,0.07888
146.970,0.1825,0.03498
171.470,0.1712,0.02919
244.291,0.0813,0.02856
343.382,0.07466,0.0209048
503.635,0.02333,0.0065324
